Spoken,Math,Args,OnlyM,GlueL,GlueR,All,LaTeX,HTML
cap,1,0,0,0,0,\cap,,
cup,1,0,0,0,0,\cup,,
and,1,0,1,0,0,\wedge,,
wedge,1,0,0,0,0,\wedge,,
or,1,0,1,0,0,\vee,,
logical or,1,0,0,0,0,\vee,,
lore,1,0,0,0,0,\vee,,
circle,1,0,1,0,0,\circ,,
compose,1,0,0,0,0,\circ,,
empty set,1,0,0,0,0,\emptyset,,
the empty set,1,0,0,0,0,\emptyset,,
the naturals,1,0,0,0,0,\N,,
the integers,1,0,0,0,0,\Z,,
the rationals,1,0,0,0,0,\Q,,
the reals,1,0,0,0,0,\R,,
the reels,1,0,0,0,0,\R,,
the complexes,1,0,0,0,0,\C,,
the complex numbers,1,0,0,0,0,\C,,
there exists,1,0,0,0,0,\exists,,
there exists a unique,1,0,0,0,0,\exists!,,
there does not exist,1,0,0,0,0,\nexists,,
for all,1,0,0,0,0,\forall,,
implies,1,0,0,0,0,\Longrightarrow,,
if and only if,1,0,0,0,0,\iff,,
group,1,1,0,0,0,\left( $1 \right),,
brackets,1,1,0,0,0,\left[ $1 \right],,
braces,1,1,0,0,0,,\{ $1 \},\{$1\}
ceiling,1,1,0,0,0,\lceil $1 \rceil,,
floor,1,1,0,0,0,\lfloor $1 \rfloor,,
right arrow,1,0,0,0,0,\rightarrow,,
right aero,1,0,0,0,0,\rightarrow,,
arrow,1,0,0,0,0,\rightarrow,,
aero,1,0,0,0,0,\rightarrow,,
approaches,1,0,0,0,0,\rightarrow,,
maps to,1,0,0,0,0,\mapsto,,
partial,1,0,0,0,0,\partial,,
real part,1,0,0,0,0,\Re,,
imaginary part,1,0,0,0,0,\Im,,
dell,1,0,0,0,0,\nabla,,
del,1,0,0,0,0,\nabla,,
infinity,1,0,0,0,0,\infty,,
infiniti,1,0,0,0,0,\infty,,
log,1,0,0,0,0,\log,,
ln,1,0,0,0,0,\ln,,
natural log,1,0,0,0,0,\ln,,
absolute value,1,1,0,0,0,|$1|,,
abs,1,1,0,0,0,|$1|,,
max,1,0,0,0,0,\max,,
min,1,0,0,0,0,\min,,
sin,1,0,0,0,0,\sin,,
cosign,1,0,0,0,0,\cos,,
cosine,1,0,0,0,0,\cos,,
tangent,1,0,0,0,0,\tan,,
co - secant,1,0,0,0,0,\csc,,
co-secant,1,0,0,0,0,\csc,,
secant,1,0,0,0,0,\sec,,
contingent,1,0,0,0,0,\cot,,
cotangent,1,0,0,0,0,\cot,,
co - tangent,1,0,0,0,0,\cot,,
co-tangent,1,0,0,0,0,\cot,,
equals,1,0,0,0,0,=,,
is equal to,1,0,0,0,0,=,,
is,1,0,1,0,0,=,,
is not equal to,1,0,0,0,0,\neq,,
isn ' t equal to,1,0,0,0,0,\neq,,
isn't equal to,1,0,0,0,0,\neq,,
does not equal,1,0,0,0,0,\neq,,
equivalent,1,0,0,0,0,\equiv,,
equivalent to,1,0,0,0,0,\equiv,,
is equivalent,1,0,0,0,0,\equiv,,
is equivalent to,1,0,0,0,0,\equiv,,
similar,1,0,0,0,0,\sim,,
is similar,1,0,0,0,0,\sim,,
similar to,1,0,0,0,0,\sim,,
is similar to,1,0,0,0,0,\sim,,
sub,1,1,0,1,0,_{$1},,
to the,1,1,0,1,0,^{$1},,
